Sukunimi,Nimenhaltijoita yhteensä
Korhonen,22513
Virtanen,22031
Mäkinen,20207
Nieminen,20011
Mäkelä,18992
Hämäläinen,18313
Laine,17932
Heikkinen,17374
Koskinen,17144
Järvinen,16142
Lehtonen,15956
Lehtinen,14964
Saarinen,14742
Salminen,14559
Heinonen,14349
Niemi,14237
Heikkilä,14169
Kinnunen,13908
Salonen,13766
Turunen,13268
Salo,12924
Laitinen,12677
Tuominen,12421
Rantanen,12374
Karjalainen,12328
Jokinen,12132
Mattila,11930
Savolainen,11122
Lahtinen,11032
Ahonen,10850
Ojala,10691
Leppänen,10668
Väisänen,9995
Hiltunen,9984
Kallio,9970
Miettinen,9952
Leinonen,9949
Pitkänen,9872
Aaltonen,9858
Manninen,9715
Koivisto,9570
Hakala,9565
Anttila,9543
Laaksonen,9187
Hirvonen,9054
Räsänen,9024
Lehto,8989
Laakso,8867
Toivonen,8807
Rantala,8669
Mustonen,8663
Aalto,8555
Nurmi,8392
Peltonen,8366
Niemelä,8301
Moilanen,8283
Pulkkinen,8176
Seppälä,8164
Hänninen,8128
Lappalainen,7956
Kettunen,7913
Partanen,7906
Saari,7905
Kauppinen,7732
Kemppainen,7726
Koskela,7657
Seppänen,7621
Lahti,7613
Salmi,7562
Ahola,7552
Huttunen,7398
Ikonen,7323
Suominen,7303
Aho,7292
Kärkkäinen,7260
Pesonen,7185
Halonen,7123
Nyman,7031
Mikkonen,7014
Koponen,7001
Johansson,6986
Peltola,6917
Oksanen,6876
Lindholm,6868
Niskanen,6844
Vainio,6829
Heiskanen,6806
Mikkola,6710
Immonen,6612
Honkanen,6593
Koski,6590
Nurminen,6524
Vuorinen,6497
Harju,6440
Kokkonen,6369
Rissanen,6334
Määttä,6332
Karppinen,6257
Mäki,6195
Laukkanen,6100
Heino,6061
Rajala,6056
Juntunen,6030
Rautiainen,5964
Jääskeläinen,5947
Parviainen,5931
Kangas,5908
Keränen,5885
Hartikainen,5862
Paananen,5791
Karlsson,5730
Leino,5729
Mäenpää,5690
Ruotsalainen,5630
Martikainen,5624
Lindström,5619
Hakkarainen,5554
Hyvärinen,5532
Uusitalo,5497
Kokko,5465
Laurila,5451
Tikkanen,5423
Toivanen,5421
Viitanen,5400
Nevalainen,5383
Salmela,5263
Leskinen,5235
Nykänen,5227
Makkonen,5196
Häkkinen,5134
Holopainen,5111
Kuusisto,5081
Tamminen,5009
Hietala,5004
Eriksson,4981
Härkönen,4969
Korpela,4960
Ranta,4958
Andersson,4954
Kukkonen,4934
Hyvönen,4893
Jaakkola,4862
Karvonen,4856
Pasanen,4818
Jokela,4813
Karhu,4812
Tiainen,4770
Väänänen,4723
Kosonen,4696
Saarela,4683
Sillanpää,4628
