Etunimi,Lukumäärä
Juhani,288661
Olavi,145000
Antero,140218
Tapani,136995
Johannes,135940
Tapio,116677
Mikael,102957
Kalevi,97985
Matti,82099
Pekka,79821
Petteri,73421
Ilmari,70949
Sakari,65395
Matias,63563
Antti,56273
Juha,54460
Kristian,52829
Heikki,52782
Timo,49589
Mikko,45739
Kari,45700
Markus,43417
Jari,40814
Jukka,40613
Aleksi,39722
Kalervo,39522
Markku,39431
Jaakko,38605
Petri,37057
Oskari,36926
Mika,36641
Henrik,35658
Lauri,35524
Veikko,35100
Erkki,34873
Hannu,34749
Seppo,33918
Ville,33220
Ensio,30333
Valtteri,30104
Ari,30093
Janne,30024
Marko,29692
Pentti,29087
Tuomas,28145
Sami,27738
Juho,26686
Eero,26028
Martti,25605
Erik,25047
Elias,24958
Jani,24166
Jorma,23863
Samuli,23592
Eemeli,22722
Jussi,22533
Harri,22254
Onni,21979
Risto,21780
Teemu,21772
Raimo,21108
Veli,20653
Jarmo,20614
Eino,20420
Pertti,20411
Esa,20155
Samuel,19412
Esko,19406
Pasi,19364
Jouni,19242
Arto,19049
Niko,18522
Olli,18478
Vesa,18422
Jouko,18420
Joonas,18147
Reijo,18131
Kalle,18071
Paavo,17715
Toni,17605
Viljami,17367
Toivo,17311
Armas,16974
Emil,16654
Johan,16644
Santeri,16440
Kimmo,16193
Tomi,16111
Leo,16104
Henri,15539
Joni,15332
Oliver,15179
Väinö,15141
Tommi,15070
Tero,15042
Eetu,14878
Ilkka,14550
Pauli,14453
Daniel,14187
Otto,13869
Sebastian,13794
Ilari,13610
Alexander,13358
Uolevi,13323
Tuomo,12839
Anton,12808
Eemil,12700
Aleksanteri,12607
Jarkko,12599
Aulis,12598
Jalmari,12473
Jesse,12267
Joona,11967
Akseli,11255
Vilho,10906
Arttu,10824
Simo,10816
Jere,10718
Allan,10623
Einari,10595
Juuso,10581
Keijo,10454
Kullervo,10375
Benjamin,10319
Lasse,10310
Christian,10210
Julius,10196
Joel,10186
Niilo,10050
Jyrki,9998
Reino,9968
Kauko,9904
Leevi,9781
Mauri,9771
Niklas,9739
Kaarlo,9667
Aukusti,9574
Jan,9527
Kai,9160
Aarne,9057
Elmeri,8882
Aki,8881
Juhana,8829
Artturi,8797
Yrjö,8746
Miika,8744
Riku,8531
Karl,8359
Rasmus,8283
Tauno,8155
Veeti,8091
Peter,8075
Hermanni,7973
Topias,7959
Jarno,7939
Teuvo,7880
Rauno,7840
Eerik,7711
Aaro,7586
Aatos,7554
Joonatan,7551
Vilhelm,7441
Ossi,7435
Arvo,7288
Viljo,7216
Osmo,7077
Valdemar,7069
Patrik,7063
Veijo,7040
Robert,7032
Taisto,7014
Ismo,6935
Anssi,6903
Rainer,6886
Roope,6756
Henry,6669
Anders,6657
Atte,6626
Eelis,6582
Aimo,6424
Asko,6375
Henrikki,6188
Miro,6141
Aaron,6138
Aapo,6116
Taneli,6091
Samu,5949
Edvard,5850
Kasper,5772
Lassi,5764
Oskar,5744
Oiva,5741
Iisakki,5645
Tuukka,5612
Verneri,5603
Ahti,5580
Kim,5544
Mauno,5522
Alex,5483
Aarre,5389
Andreas,5331
Kustaa,5322
Vihtori,5321
Lars,5312
Rafael,5308
Topi,5210
Kasperi,5167
Wilhelm,5130
August,5121
Vili,5106
Fredrik,5044
Miikka,5035
Tarmo,5011
Urho,4982
Albert,4980
Aatu,4970
Alpo,4939
Konsta,4900
Jimi,4896
Sulo,4779
Nikolai,4729
Roni,4706
Joakim,4668
Unto,4654
Herman,4638
Tatu,4614
Ilpo,4605
Max,4580
Sauli,4551
Jyri,4491
Michael,4460
Veikka,4445
Kyösti,4410
Carl,4364
Gustav,4364
Iivari,4348
Kaj,4348
Saku,4323
William,4323
Gunnar,4316
Eeli,4302
Tom,4289
Alvar,4273
Severi,4271
Hugo,4099
Veli-Matti,4050
Rikhard,4034
Heimo,3927
Iiro,3825
Hans,3805
Martin,3754
Thomas,3736
Otso,3726
John,3710
Voitto,3695
Jonne,3677
Rami,3677
Pyry,3666
Axel,3653
Pietari,3648
Lenni,3625
Frans,3607
Arvi,3598
Pellervo,3554
Jeremias,3543
Viktor,3543
Hannes,3520
Miska,3504
Sampo,3427
Olof,3406
Oscar,3399
Juha-Pekka,3354
Paul,3354
Harry,3335
Jami,3327
Gabriel,3314
Teppo,3282
Göran,3268
Leif,3249
Stefan,3245
Aku,3197
Nico,3197
Nils,3126
Luka,3113
Jukka-Pekka,3060
Luukas,3042
Aleksander,2983
Miko,2959
Päiviö,2959
Tony,2959
Perttu,2937
Noel,2923
Edvin,2921
Tomas,2876
Arvid,2868
Aarno,2864
Anselmi,2861
Paavali,2854
Nooa,2849
Jasper,2816
Santtu,2802
Alfred,2767
Veli-Pekka,2752
Jonas,2730
Robin,2727
Krister,2725
Nestori,2679
Richard,2647
Untamo,2646
Eljas,2570
Urpo,2570
Christer,2566
Lucas,2552
Nuutti,2548
Panu,2536
Ali,2506
Terho,2497
Aarni,2493
Eliel,2477
Eerikki,2465
Klaus,2456
Marcus,2453
Sven,2449
Mathias,2436
Magnus,2420
Viljam,2420
Lennart,2415
Jonathan,2407
Waltteri,2402
Patrick,2396
Peetu,2356
Juha-Matti,2348
Eevert,2347
Jesper,2334
Sisu,2331
Mohamed,2296
Olli-Pekka,2295
Kenneth,2274
Bengt,2269
Lukas,2264
Aapeli,2243
Kaleva,2217
Reima,2205
Mattias,2204
Stig,2197
Ossian,2176
Evert,2170
Alarik,2126
Teijo,2124
Tino,2117
Ukko,2105
Rolf,2084
Justus,2078
Kaapo,2049
Mats,2035
Einar,2024
Antton,1999
Lari,1979
Petter,1957
Kurt,1932
Eric,1926
Felix,1910
Tommy,1904
Taavi,1896
Tobias,1896
Asser,1892
David,1888
Anttoni,1883
Manu,1852
Per,1852
Luca,1843
Taavetti,1837
Håkan,1813
Karri,1800
Elmo,1792
Tenho,1788
Leonard,1773
Ari-Pekka,1736
Valter,1733
Aleksis,1722
Helge,1711
Verner,1710
Åke,1704
Simon,1699
Gustaf,1698
Bo,1694
Erno,1690
Björn,1687
Roger,1686
Jooa,1663
Ralf,1662
Touko,1638
Jori,1629
Kaarle,1627
Jonatan,1617
Valentin,1578
Heino,1572
Adam,1571
Eemi,1563
Sulevi,1562
Jerry,1561
Jalo,1546
Kosti,1534
Vertti,1532
Victor,1527
Kimi,1510
Ahmed,1501
Christoffer,1496
Aslak,1492
Dan,1490
Nikolas,1488
Bernhard,1478
Casper,1462
Birger,1459
Albin,1455
Tuure,1439
Elis,1436
Edward,1429
Rauli,1427
Timi,1426
Jan-Erik,1416
Raine,1404
Milo,1396
Salomon,1357
Linus,1343
Börje,1335
Ulf,1332
Mico,1314
Jari-Pekka,1313
Harald,1305
Georg,1304
Jiri,1304
Iikka,1302
Bror,1291
Ingmar,1291
Ilmo,1284
Auvo,1275
Kevin,1271
Taito,1257
Arthur,1254
Petrus,1249
Jarl,1242
Alvari,1240
Waldemar,1236
Alf,1225
Kristoffer,1224
Nicolas,1190
Isak,1185
Väinämö,1167
Arne,1161
Sampsa,1161
Vilhelmi,1145
Rudolf,1144
Kasimir,1136
Walter,1126
Valto,1124
Jens,1106
Iisak,1103
Elia,1102
Visa,1101
Christopher,1093
Filip,1092
Noah,1077
James,1075
Altti,1065
Niki,1065
Uljas,1065
Adolf,1055
Erkka,1053
Leon,1048
Vincent,1044
Nicholas,1042
Adrian,1034
Kjell,1030
Niclas,1016
Emanuel,1012
Tiitus,995
Ville-Veikko,993
André,992
Torsten,980
Helmer,973
Tor,968
Isto,965
Ben,960
Eevertti,956
Joose,956
Paulus,956
Jose,950
Marco,950
Bertel,944
Ragnar,943
Holger,939
Hjalmar,937
Jooseppi,937
Aatto,926
Okko,924
Artur,923
Ole,921
Konstantin,914
Aksel,912
Teo,905
Viking,904
Simeon,899
Antonio,890
Jakob,886
Wiljami,877
Jon,870
Cristian,869
Sasu,869
Torsti,869
Benjam,861
Bjarne,858
Johnny,857
Elliot,855
Usko,853
Jimmy,850
Elmer,848
Roy,847
Iivo,842
Oula,838
Maximilian,834
Ivar,832
Asseri,830
Sakarias,825
Andrei,820
Niila,817
Miikkael,810
Aamos,807
Uuno,804
Vesa-Matti,799
Hemmo,798
Noa,791
Liam,788
Jussi-Pekka,783
Dennis,775
Yrjänä,775
Manuel,774
Leander,773
Ove,761
Aron,760
Valfrid,757
Osvald,756
Alfons,746
Mio,743
Benjami,742
Olav,740
Anthony,738
Teodor,729
Mauritz,722
Ilja,721
Venni,716
Roland,713
Frank,712
Marius,709
Jim,708
Valo,708
Arimo,703
Kauno,700
Turo,699
Atso,697
Valtter,693
Amos,691
Miikael,691
Gösta,689
Rune,688
Tim,687
Romeo,685
Antinpoika,683
Into,682
Mark,681
Anselm,677
Omar,677
Boris,676
Jonni,674
Dimitri,671
Jörgen,664
Otava,663
Jeremia,660
Ferdinand,659
Hassan,651
Rene,649
Ruben,643
Ibrahim,638
Bruno,635
Joachim,629
Reko,629
Runar,628
Casimir,625
Ylermi,622
Erland,618
Arno,613
Guy,612
Immanuel,612
Micael,612
Ernst,610
Petja,606
Evald,605
Jesperi,604
Julian,604
Jare,603
Raino,603
Herbert,601
Philip,597
Sam,596
Aleksei,595
Mohammed,595
Bertil,593
Theo,593
Eppu,592
Toimi,587
Werner,584
Nestor,582
Sten,576
Pekko,573
Abdi,572
Mohammad,571
Matts,567
Vladimir,567
Charles,566
Joosua,564
Kaspian,562
Sameli,562
Yngve,562
Fabian,558
Miki,558
Matinpoika,554
Mirko,554
Eugen,552
Pontus,551
Tage,551
Juhanpoika,546
Zacharias,546
Juri,545
Dani,539
Kaius,539
Jacob,538
Vesa-Pekka,537
Sylvester,536
Jean,535
Neo,535
Antto,534
Ville-Pekka,534
Jasu,531
Abdullahi,526
Nicklas,524
Arnold,521
Kent,511
Ivan,510
Orvo,508
Salomo,508
Klas,502
Reinhold,501
Arsi,500
Valde,491
Aleksandr,490
Torbjörn,488
Esaias,486
Raineri,486
Theodor,484
Sergei,483
Soini,482
Aatami,481
Kari-Pekka,480
Antti-Jussi,478
Hilding,476
Ingemar,476
Helmeri,474
Ludvig,474
Wiljam,473
Abdirahman,472
Jaro,471
Osku,471
Karl-Erik,470
Ronny,467
Mikonpoika,466
Svante,462
Turkka,462
Maunu,459
Torvald,456
Andrew,452
Samppa,452
Torolf,452
Wille,451
Kaino,445
Antti-Pekka,442
Joseph,441
Vilppu,441
Asmo,438
Mainio,438
Aadolf,437
Villiam,436
Akusti,425
Karim,425
Sigurd,425
Edwin,424
Hussein,422
Jonny,422
Josef,419
Sune,418
Karl-Johan,414
Maxim,414
Hemming,413
Mertsi,413
Mårten,412
Igor,411
Joshua,410
Joa,408
Hemminki,407
Kusti,407
Ola,404
Per-Erik,403
Knut,401
Aake,400
Mikke,400
Alvin,399
Folke,399
Ohto,398
Urmas,397
Timonpoika,396
Amir,394
Sixten,393
George,391
Berndt,385
Jalmar,385
Pietu,382
Erkko,381
Nino,381
Aappo,380
Pavel,380
Augusti,377
Herkko,377
Jack,373
Muhammad,372
Pirkka,372
Jukanpoika,371
Ahmad,369
Bernt,369
Lars-Erik,365
Ville-Petteri,365
Kuisma,364
Werneri,364
Carl-Johan,361
Sture,360
Matteus,359
Dominic,358
Abraham,357
Valio,357
Matthew,356
Van,356
Heikinpoika,354
Jason,353
Nikita,352
Pekanpoika,352
Elo,351
Leonardo,349
Kristofer,348
Mitja,347
Eeti,346
Petro,345
Roman,345
Yusuf,345
René,344
Maximus,343
Jarinpoika,342
Rickard,342
Pete,341
Denis,340
